Source;Target;Weight
Viennot, Éliane;la collaboration de Nicole Pellegrin, avec;23
Berchtold, Jacques;Porret, Michel;23
Chouillet, Anne-Marie;Crépel, Pierre;23
Astbury, Katherine;Plagnol-Diéval, Marie-Emmanuelle;23
Couvreur, Manuel;Preyat, Fabrice;23
Lüsebrink, Hans-Jürgen;Mollier, Jean-Yves;23
Mortier, Roland;Moureau, François;23
Knabe, Peter-Eckhard;Moureau, François;23
Knabe, Peter-Eckhard;Mortier, Roland;23
Roulin, Jean-Marie;Saminadayar-Perrin, Corinne;23
Cessac, Catherine;Preyat, Fabrice;23
Faggion, Lucien;Regina, Christophe;23
Bouneau, Christophe;Figeac, Michel;23
Chouillet, Anne-Marie;Coppola, Sylviane Albertan;23
Porret, Michel;Testori, Olinda;23
Rosset, François;la collaboration de Kris Peeters, avec;23
Paschoud, Adrien;Rosset, François;22
Dutray-Lecoin, Élise;Muzerelle, Danielle;22
Negrel, Éric;Ruimi, Jennifer;22
Mothu, Alain;Porset, Charles;22
Becq, Annie;Mothu, Alain;22
Krief, Huguette;Labarthe, Michèle Crogiez;22
Becq, Annie;Porset, Charles;22
Mostefai, Ourida;O’Neal, John C.;22
Bourdin, Philippe;Serna, Pierre;22
Paschoud, Adrien;Pelckmans, Paul;22
Dhraïef, Beya;Ruimi, Jennifer;22
Dhraïef, Beya;Negrel, Éric;22
Bahier-Porte, Christelle;Reguig, Delphine;22
Flamarion, Édith;Krief, Huguette;22
Bessire, François;Reid, Martine;22
Leuwers, Hervé;Serna, Pierre;22
Bourdin, Philippe;Loubinoux, Gérard;22
Massé, Stéphanie;Rubellin, Françoise;22
Labarthe, Michèle Crogiez;Plagnol-Diéval, Marie-Emmanuelle;22
Herman, Jan;Paschoud, Adrien;22
Flamarion, Édith;Plagnol-Diéval, Marie-Emmanuelle;22
Santis, Vincenzo De;Thibaut, Julian;22
Jarnoux, Philippe;Pourchasse, Pierrick;22
Flamarion, Édith;Labarthe, Michèle Crogiez;22
Linon-Chipon, Sophie;Requemora, Sylvie;22
Krief, Huguette;Plagnol-Diéval, Marie-Emmanuelle;22
Borgne, Françoise Le;Bourdin, Philippe;21
Klene, Émilie;la collaboration d’Emiliano Ranocchi, avec;21
Frantz, Pierre;Wynn, Thomas;21
Jarnoux, Philippe;de Mathan, Anne;21
Pourchasse, Pierrick;de Mathan, Anne;21
Cicchini, Marco;Porret, Michel;21
Witkowski, de Przemysław B.;la collaboration d’Emiliano Ranocchi, avec;21
Mix, York-Gothart;Mollier, Jean-Yves;21
Berchtold, Jacques;Fragonard, Marie-Madeleine;21
Kirchner, Thomas;Raux, Sophie;21
Kirchner, Thomas;Schneider, Marlen;21
Klene, Émilie;Witkowski, de Przemysław B.;21
Antoine, François;Leuwers, Hervé;21
Fripp, Jessica L.;Gorse, Amandine;21
Fripp, Jessica L.;Manceau, Nathalie;21
Fripp, Jessica L.;Struckmeyer, Nina;21
Dutray-Lecoin, Élise;Lefèvre, Martine;21
Gorse, Amandine;Manceau, Nathalie;21
Massé, Stéphanie;Swiderski, Marie-Laure Girou;21
Parent, Hélène;Pujol, Stéphane;21
Brasart, Patrick;Pujol, Stéphane;21
Brasart, Patrick;Parent, Hélène;21
Rubellin, Françoise;Swiderski, Marie-Laure Girou;21
Gorse, Amandine;Struckmeyer, Nina;21
Manceau, Nathalie;Struckmeyer, Nina;21
Grande, Nathalie;Pierre, Chantal;21
Astbury, Katherine;Seth, Catriona;21
Lefèvre, Martine;Muzerelle, Danielle;21
Peeters, Kris;Vanacker, Beatrijs;21
Dagen, Jean;Roger, Philippe;21
Kremer, Nathalie;Vanacker, Beatrijs;21
Kremer, Nathalie;Peeters, Kris;21
Raux, Sophie;Schneider, Marlen;21
Lautel, Alain;Rivara, Annie;20
Bessire, François;Tilkin, Françoise;20
Richard, Odile;Stenger, Gerhardt;20
Cook, Malcolm;Jourdan, Annie;20
Cointre, Annie;Lautel, Alain;20
