;coeditor1;coeditor2;count
3383;Labarthe, Michèle Crogiez;Plagnol-Diéval, Marie-Emmanuelle;22
3044;Herman, Jan;Paschoud, Adrien;22
3384;Flamarion, Édith;Plagnol-Diéval, Marie-Emmanuelle;22
4529;Santis, Vincenzo De;Thibaut, Julian;22
3733;Jarnoux, Philippe;Pourchasse, Pierrick;22
3385;Flamarion, Édith;Labarthe, Michèle Crogiez;22
4248;Linon-Chipon, Sophie;Requemora, Sylvie;22
3380;Krief, Huguette;Plagnol-Diéval, Marie-Emmanuelle;22
1125;Borgne, Françoise Le;Bourdin, Philippe;21
3340;Klene, Émilie;la collaboration d’Emiliano Ranocchi, avec;21
2621;Frantz, Pierre;Wynn, Thomas;21
4779;Jarnoux, Philippe;de Mathan, Anne;21
4778;Pourchasse, Pierrick;de Mathan, Anne;21
1700;Cicchini, Marco;Porret, Michel;21
3342;Witkowski, de Przemysław B.;la collaboration d’Emiliano Ranocchi, avec;21
3629;Mix, York-Gothart;Mollier, Jean-Yves;21
716;Berchtold, Jacques;Fragonard, Marie-Madeleine;21
3326;Kirchner, Thomas;Raux, Sophie;21
3327;Kirchner, Thomas;Schneider, Marlen;21
3341;Klene, Émilie;Witkowski, de Przemysław B.;21
176;Antoine, François;Leuwers, Hervé;21
2631;Fripp, Jessica L.;Gorse, Amandine;21
2632;Fripp, Jessica L.;Manceau, Nathalie;21
2633;Fripp, Jessica L.;Struckmeyer, Nina;21
2405;Dutray-Lecoin, Élise;Lefèvre, Martine;21
2634;Gorse, Amandine;Manceau, Nathalie;21
4933;Massé, Stéphanie;Swiderski, Marie-Laure Girou;21
1220;Parent, Hélène;Pujol, Stéphane;21
1219;Brasart, Patrick;Pujol, Stéphane;21
1218;Brasart, Patrick;Parent, Hélène;21
4934;Rubellin, Françoise;Swiderski, Marie-Laure Girou;21
2635;Gorse, Amandine;Struckmeyer, Nina;21
2636;Manceau, Nathalie;Struckmeyer, Nina;21
2856;Grande, Nathalie;Pierre, Chantal;21
243;Astbury, Katherine;Seth, Catriona;21
2407;Lefèvre, Martine;Muzerelle, Danielle;21
3376;Peeters, Kris;Vanacker, Beatrijs;21
1989;Dagen, Jean;Roger, Philippe;21
3375;Kremer, Nathalie;Vanacker, Beatrijs;21
3374;Kremer, Nathalie;Peeters, Kris;21
3328;Raux, Sophie;Schneider, Marlen;21
1762;Lautel, Alain;Rivara, Annie;20
833;Bessire, François;Tilkin, Françoise;20
4252;Richard, Odile;Stenger, Gerhardt;20
1824;Cook, Malcolm;Jourdan, Annie;20
1761;Cointre, Annie;Lautel, Alain;20
3686;Mariette-Clot, Catherine;Zanone, Damien;20
1610;Charon, Anne;Claerr, Thierry;20
1518;Carvais, Robert;Glineur, Cédric;20
180;Antoine, François;Biard, Michel;20
182;Antoine, François;Simien, Côme;20
1611;Charon, Anne;Moureau, François;20
185;Biard, Michel;Simien, Côme;20
1009;Bonnel, Roland;Rubinger, Catherine;20
187;Bourdin, Philippe;Simien, Côme;20
3632;Mix, York-Gothart;Sorel, Patricia;20
4599;Godel, Rainer;Vincent, Charles;20
4598;Godel, Rainer;Vallenthini, Michèle;20
188;Leuwers, Hervé;Simien, Côme;20
1612;Claerr, Thierry;Moureau, François;20
4597;Vallenthini, Michèle;Vincent, Charles;20
2388;Duperray, Ève;Poinas, Bruno;20
603;Häseler, Jens;McKenna, Antony;20
66;Alimento, Antonella;Goggi, Gianluigi;20
2132;Delon, Michel;Schlobach, Jochen;20
3630;Lüsebrink, Hans-Jürgen;Sorel, Patricia;20
3631;Mollier, Jean-Yves;Sorel, Patricia;20
181;Antoine, François;Bourdin, Philippe;20
532;Bastien, Pascal;Macdonald, Simon;19
4123;Mongenot, Christine;Plagnol-Diéval, Marie-Emmanuelle;19
3190;Gris, Fabien;Igalens, Jean-Christophe;19
2904;Groult, Martine;la collaboration de Claire Fauvergue, avec;19
2905;Delia, Luigi;la collaboration de Claire Fauvergue, avec;19
1089;Boulad-Ayoub, Josiane;Schulte-Tenckhoff, Isabelle;19
1090;Boulad-Ayoub, Josiane;Vernes, Paule-Monique;19
1091;Schulte-Tenckhoff, Isabelle;Vernes, Paule-Monique;19
1665;Chiron, Jeanne;Seth, Catriona;19
2903;Delia, Luigi;Groult, Martine;19
1311;Brucker, Nicolas;Meier, Franziska;19
268;Tabet, Xavier;Vento, Christian Del;19
3818;Meyer, Véronique;Pujalte-Fraysse, Marie-Luce;19
2477;Externbrink, Sven;Levillain, Charles-Édouard;19
265;Audegean, Philippe;Musitelli, Pierre;19
264;Audegean, Philippe;Vento, Christian Del;19
1360;Burnand, Léonard;Genand, Stéphanie;19
269;Musitelli, Pierre;Tabet, Xavier;19
267;Musitelli, Pierre;Vento, Christian Del;19
266;Audegean, Philippe;Tabet, Xavier;19
3496;Leca-Tsiomis, Marie;la collaboration d’Alain Sandrier, avec;19
251;Aubert, Gauthier;Provost, Georges;19
2688;Gallouët, Catherine;Schutter, avec Yolande G.;18
5198;Mao, Caroline Le;Meyzie, Philippe;18
3504;Leduc, Christian;Pépin, François;18
1696;Chrościcki, Juliusz A.;Sabatier, Gérard;18
1697;Hengerer, Mark;Sabatier, Gérard;18
3505;Leduc, Christian;Rey, Anne-Lise;18
163;Antoine-Mahut, Delphine;Zékia, Stéphane;18
4990;Poussou, Jean-Pierre;Robin-Romero, Isabelle;18
